"Bolagsnamn";"Info";"Börsvärde";"Aktiekurs";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kurs / MA";"Kurs / MA"
"";"Lista";"Senaste";"Senaste";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"MA 50d";"MA 200d"
"SCA B";"Large Cap";103940,3984375;148;0,0578985452651978;0,328545761108398;0,614662818908691;0,00520265102386475;0,177336330413818
"SEB A";"Large Cap";214501,90625;98,9400024414063;0,0787178468704224;0,155031499862671;0,0820209980010986;0,0888465690612793;0,148684616088867
"Sectra";"Large Cap";25930,80078125;675;0,0150375938415527;0,0782747602462769;0,928571395874023;-0,0664545917510986;0,0901505947113037
"Securitas";"Large Cap";48534,58984375;132,949996948242;-0,0540733242034912;0,075212254524231;0,0195552384853363;0,0170983076095581;0,0133827924728394
"Semcon";"Small Cap";1657,33898925781;91,5;0,253424663543701;0,5;0,339677848815918;0,0849974155426025;0,38092887878418
"Sensys Gatso";"Small Cap";1269,89794921875;1,38999998569489;-0,104381475448608;-0,161640529632568;0,0725308513641357;-0,081465482711792;-0,0628434419631958
"Handelsbanken A";"Large Cap";179190;90,5;0,027008593082428;0,0402298831939697;-0,0619817924499512;0,0619224309921265;0,065584659576416
"SinterCast";"Small Cap";994,018005371094;140,199996948242;0,0621211910247803;0,035450541973114;-0,194252891540527;0,0386724472045898;0,0178966522216797
"Skanska";"Large Cap";86641,8828125;210,399993896484;0,0183929705619812;0,184684600830078;0,00718046903610229;-0,0196535587310791;0,076591968536377
"SKF B";"Large Cap";106552,1015625;234;0,0934579467773438;0,344055099487305;0,392857131958008;0,0334867238998413;0,201699371337891
"SkiStar";"Mid Cap";10188,8798828125;130;0,327885589599609;0,221804485321045;0,368421058654785;0,109423274993896;0,204953308105469
"Softronic";"Small Cap";1413,19604492188;26,8500003814697;0,325925941467285;0,392634811401367;0,592526664733887;0,180790672302246;0,424369201660156
"SSAB A";"Large Cap";38432,140625;37,3199996948242;0,342929039001465;0,318727931976318;0,274590129852295;0,10228967666626;0,290410766601563
"Stora Enso R";"Large Cap";133904,296875;169,800003051758;0,148849792480469;0,319860172271729;0,492091369628906;0,0596208572387695;0,246554260253906
"Studsvik";"Small Cap";675,601806640625;82,1999969482422;0,0405062913894653;0,657258071899414;1,60126571655273;-0,136518363952637;0,322266082763672
"Svedbergs";"Small Cap";856,413024902344;40,5;0,306451606750488;0,673553695678711;0,768558959960938;0,109589099884033;0,459682922363281
"Svolder B";"Mid Cap";4930,56005859375;192,600006103516;0,115874853134155;0,375714340209961;0,553225860595703;0,0313584804534912;0,260355834960938
"Sweco B";"Large Cap";44221,859375;124,699996948242;-0,161962394714355;-0,295480251312256;0,213034954071045;-0,129906892776489;-0,184838237762451
"Swedbank";"Large Cap";168460,203125;150,679992675781;-0,0402548217773438;0,0251734733581543;0,0409671354293823;0,00330257415771484;0,0522574186325073
"Swedish Match";"Large Cap";99479,53125;618,400024414063;-0,083580265045166;-0,0647307729721069;0,105075149536133;-0,020967423915863;-0,0747528648376465
"Swedish Orphan Biovitrum";"Large Cap";41540,30078125;141,149993896484;-0,136697282791138;-0,274106483459473;-0,136961231231689;-0,118693885803223;-0,225570735931396
"Systemair";"Mid Cap";12558;241,5;-0,0747126436233521;0,0977272701263428;0,706713790893555;-0,080735387802124;0,0870983600616455
"Tele2 B";"Large Cap";74678,640625;108,699996948242;-0,00730596423149109;-0,120905818939209;-0,220509147644043;-0,023632287979126;-0,077897367477417
"Telia Company";"Large Cap";141501,296875;34,5999984741211;-0,0478811693191528;0,0331441259384155;-0,0877933502197266;-0,0148008465766907;-0,0108705163002014
"TietoEVRY";"Large Cap";31206,75;263,799987792969;-0,0400291156768799;0,0146153378486633;-0,0229630088806152;-0,0367904305458069;0,0176839828491211
"Traction";"Mid Cap";2854,46997070313;193;0,0965909099578857;0,145400590896606;0,131964807510376;0,0292785167694092;0,106572036743164
"TradeDoubler";"Small Cap";185,509002685547;4,1100001335144;0,388513526916504;0,284375019073486;0,52222225189209;0,177448043823242;0,338500633239746
"Viking Supply";"Small Cap";494,330993652344;53;-0,0701754379272461;-0,189602470397949;-0,260808887481689;-0,0444252490997314;-0,121461982727051
"Trelleborg";"Large Cap";59093,69921875;218;0,221973133087158;0,45624584197998;0,469993209838867;0,109889268875122;0,331238746643066
"Kindred";"Large Cap";31663,5703125;139,5;0,952687530517578;1,10343788146973;1,98076934814453;0,322209701538086;0,881429443359375
"VBG";"Mid Cap";4188,169921875;167,5;0,143344707489014;0,283524894714355;0,155172414779663;0,0189803838729858;0,153501749038696
